"id","gen","age","edu","cur","cit","dec","atc","sc01","sc02","sc03","gw01","gw02","gw03","gw04","gw05","gw06","gw07","gw08","gw09","gw10","gw11","gw12","wi01","wi02","wi03","wi04","wi05","wi06","wi07","wi08","wi09","wi10","wi11","wi12","in01","in02","in03","in04","in05","in06","in07","in08","in09","in10","in11","in12","jn01","jn02","jn03","jn04","jn05","jn06","jn07","jn08","jn09","jn10","jn11","jn12","cm01","cm02","cm03","cm04","co01","co02","co03","co04","ac01","ac02","ac03","ac04","ac05","ip01","ip02","ip03","si01","si02","co03_r","co04_r","comm_mean","conf_mean","accu_mean","impr_mean","cred_ec","cred_tc","impo_ec","impo_tc","inte_ec","inte_tc"
1,2,23,6,2,1,1,"vier","nein","nein","Herauszufinden, wie Leute Entscheidungen treffen und wie die Beurteilung der Argumente von der Beurteilung der eigenen Beurteilung vielleicht abweicht.",4,6,3,7,6,3,6,6,7,6,6,8,7,3,7,6,7,3,7,8,6,7,7,5,7,7,6,6,6,3,6,6,5,3,4,3,1,1,1,1,1,0,1,1,1,0,0,0,1,0,3,0,1,1,5,9,8,8,8,5,7,10,10,10,3,"Ja",5,1,1,2,7.2,10,5.33333333333333,6,6.83333333333333,5.33333333333333,5.66666666666667,4.66666666666667
2,1,20,5,2,1,1,"vier",NA,"An einer Studie für eine Bachelorarbeit, wo man das Verhalten anderer Menschen bewerten musste.","Inwiefern Argumente von Experten und damit die Haltung anderer Menschen, die auf dem Gebiet mehr wissen als man selbst hat, die eigene Meinung beeinflussen, je nachdem wie diese Argumente ausformuliert und begründet wurden",4,0,3,7,6,9,6,1,4,4,3,8,6,1,6,7,7,9,7,2,7,3,3,8,3,0,7,5,5,10,4,0,3,2,4,7,0,0,1,1,1,1,0,0,0,0,0,1,6,3,6,6,4,3,5,8,6,10,10,8,8,6,10,10,9,"Ja",5,2,5.25,3.5,8.4,8.66666666666667,4.33333333333333,4.83333333333333,6,5,4.33333333333333,4
3,1,23,6,2,1,2,"vier",NA,"nein","Den Einfuss von Erfahrung und Bildung von Menschen in verschiedenen Lebensphasen auf das Treffen bedeutender Entscheidungen zu beurteilen.",7,5,5,8,1,10,8,6,6,5,8,5,9,7,6,8,1,10,8,7,8,3,9,7,9,4,4,5,2,9,6,4,4,8,8,5,1,0,0,0,0,1,1,0,0,1,1,0,7,5,7,5,3,2,5,9,6,7,8,3,7,7,10,8,4,"Ja",5,1,6,2.75,6.2,8.33333333333333,5.83333333333333,6.5,6.83333333333333,7,5.5,5.83333333333333
4,1,22,5,2,1,2,"vier",NA,"Ja, ich habe schon an einer Studie von Laura Künzel teilgenommen mit einem Spiel, dass auch Entscheidungsfindung näher beleuchtet hat ","Entscheidungsfindung von jungen Menschen nachvollziehen zu können ",6,7,2,8,6,10,7,9,7,9,5,7,6,7,2,8,2,10,8,7,7,9,6,8,8,7,1,8,8,10,8,4,7,7,4,7,1,1,0,1,1,1,1,1,1,1,1,1,7,6,5,6,4,7,5,1,6,10,7,10,10,10,10,10,7,"Ja",5,9,6,6.25,8.6,10,5.5,8.33333333333333,5.16666666666667,8.16666666666667,6,7.16666666666667
5,2,22,5,2,1,2,"vier","ich fand es doch schon sehr merkwürdig, wie es Herr Müller bei 38 Angestellten geschafft hat *mehrere* Abteilungsleiter so zu verstimmen, dass sie das Unternehmen verlassen haben. Und selbst wenn es tatsächlich mehrere Abteilungsleiter gibt, so haben diese nur eine sehr kleine Anzahl an zugeordneten Mitarbeitern, weshalb es mich (gerade in der Modebranche (ohne mich da wirklich auszukennen)) wundern würde, wenn die Auflösung der Arbeitsverträge dann so enorm teuer werden würde",NA,NA,8,9,1,7,3,8,5,9,5,9,4,9,7,4,3,8,7,9,8,8,7,7,7,10,4,0,8,1,4,0,7,2,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,10,10,10,10,2,0,4,4,3,5,9,10,10,10,6,"Nein",8,10,6.75,9.5,5,10,4.33333333333333,8.5,6.5,7.66666666666667,4.83333333333333,1.16666666666667
6,1,23,6,2,1,2,"vier","Es waren meiner Meinung nach zu viele Antwortmöglichkeiten. 5-7 reichen aus, bei dieser Anzahl konnte ich kaum zwischen den einzelnen Abstufungen unterscheiden. Darauf wolltet ihr vermutlich hinaus, aber meine Motivation die Fragen zu beantworten, sank dadurch leider. ",NA,NA,7,7,4,8,3,6,7,8,7,7,2,7,8,6,6,7,3,7,6,5,5,6,6,5,5,4,3,3,3,4,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,2,6,2,2,8,7,7,7,6,7,10,10,9,0,"Ja",8,2,3.5,4.5,6.8,9.66666666666667,5,7.16666666666667,5.66666666666667,6,3.5,3.66666666666667
7,2,20,5,1,1,1,"vier",NA,NA,NA,6,2,9,6,8,2,7,8,7,3,4,5,8,3,7,8,9,3,7,4,10,6,7,7,6,3,6,8,10,4,5,8,7,9,10,5,1,1,1,1,1,1,1,1,1,1,1,1,10,6,8,8,0,6,2,3,10,10,10,10,10,7,10,5,9,"Ja",8,7,8,5.25,10,7.33333333333333,6.83333333333333,4.33333333333333,8,5.16666666666667,7.33333333333333,6.16666666666667
8,1,21,5,2,1,2,"vier",NA,NA,NA,2,2,3,5,1,6,5,3,3,4,4,5,1,2,3,6,4,6,5,4,6,4,4,5,3,3,2,7,4,5,3,3,4,4,4,1,0,0,0,1,0,1,0,0,0,1,1,0,4,3,6,2,3,4,2,6,6,6,3,8,7,7,8,8,6,"Ja",8,4,3.75,4.75,6,7.66666666666667,3,4.16666666666667,3.83333333333333,4.5,3.33333333333333,3.83333333333333
9,1,20,3,3,1,2,"vier",NA,NA,NA,2,3,6,8,6,6,2,9,4,6,7,6,7,2,6,3,4,3,0,7,3,7,7,5,4,0,4,4,2,3,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,3,3,4,7,2,3,0,8,4,8,7,10,5,1,"Ja",3,8,5.25,4.5,4.6,7.33333333333333,4.5,6.33333333333333,4.5,4.5,1.83333333333333,1.83333333333333
10,1,20,5,2,1,2,"vier","Es gab sehr viel zu beachten, was ich schwierig fand, weil ich die Situation auch mit dem Einführungstext schwer einschätzen konnte. 
","Nein. ","Zu erforschen, wie impulsiv die Teilnehmenden Entscheidungen treffen und ob die Argumente zu einem umdenken fürhren können, oder ob die vorher festgelegte Meinung bestehen bleibt. ",4,8,7,2,6,9,8,3,7,3,6,8,4,8,6,1,6,8,8,2,9,4,5,10,3,10,6,1,2,9,2,1,8,6,2,4,0,1,1,0,0,1,0,0,1,1,0,0,0,3,6,0,6,2,6,2,7,8,7,9,8,10,10,10,2,"Ja",4,8,2.25,5,7.8,10,6.33333333333333,5.5,6.33333333333333,5.5,3.83333333333333,5.16666666666667
11,1,19,5,2,1,2,"vier","Nein. ","Nein. ","Vielleicht den Einfluss fremder Meinung auf die eigene Entscheidung zu untersuchen. ",2,4,4,7,1,6,5,6,7,5,2,3,2,4,2,6,2,7,5,6,6,5,4,7,1,3,1,6,2,7,5,6,6,3,3,5,0,0,1,1,0,1,1,1,1,1,0,1,8,5,6,3,5,2,1,8,9,8,8,7,7,8,10,9,5,"Ja",9,2,5.5,4.5,7.8,9,3.5,5.16666666666667,3.5,5.83333333333333,3,5
12,1,20,5,2,2,2,"vier ",NA,"Nein","Einflussfaktoren auf die Entscheidungen, Fähigkeit auch Argumente zu berücksichtigen, die der eigenen Meinung widersprechen erforschen",3,5,3,7,4,8,6,4,7,7,6,8,3,6,2,8,3,8,7,5,6,7,5,7,2,7,2,7,6,5,3,2,6,7,3,8,0,1,0,1,1,1,0,0,1,1,0,1,3,3,3,7,4,6,7,5,6,8,5,7,6,7,8,6,6,"Ja",3,5,4,4.5,6.4,7,4.83333333333333,6.5,4.33333333333333,6.83333333333333,3.66666666666667,6
13,1,21,5,4,1,1,"Vier ",NA,NA,NA,1,1,8,5,0,5,2,2,2,2,1,8,1,1,8,7,1,5,7,1,5,6,7,7,1,1,3,6,1,3,1,1,2,2,1,2,0,0,0,1,0,1,0,0,0,1,1,0,3,6,6,4,2,3,4,6,5,5,7,7,7,10,10,10,7,"Ja",6,4,4.75,3.75,6.2,10,2.33333333333333,3.83333333333333,4.83333333333333,4.5,1.5,2.5
14,2,21,5,2,1,2,"vier","Viele Aspekte die im Einführungstext als negativ dargestellt wurden, wurden später in den einzelnen Aussagen als positiv dargestellt. Diese eigentlich negativen Taten haben später einen Hintergedanken verfolgt und sind deshalb sogar langfristig eher als positiv anzusehen.","An einer Studie nicht nein. Aufgrund meines Studiums kann ich aber wirtschafltiche Strategien und deren Bedeutungen abschätzen.","Zu untersuchen auf welcher Grundlage wir uns entschieden. Welche Informationen werden benötigt und wie müssen diese formulerit und erläutert sein.",2,2,1,6,2,8,8,2,7,8,7,10,8,5,9,5,4,9,8,2,9,10,9,10,7,1,1,5,8,2,8,7,9,7,8,5,1,0,0,0,1,0,1,1,1,1,1,0,9,6,9,9,7,1,1,5,7,9,10,7,9,7,10,8,7,"Ja",9,5,8.25,5.5,8.4,8.33333333333333,4.5,6,7.83333333333333,6.83333333333333,6.83333333333333,4.5
15,1,20,5,2,1,2,"vier",NA,NA,NA,6,5,5,3,6,10,4,10,6,0,3,6,6,4,6,3,5,10,5,7,6,0,3,7,5,1,6,0,6,10,1,7,6,7,4,6,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,2,6,6,4,6,1,6,6,10,10,10,0,"Nein",4,4,0,2.5,4.6,10,5,5.66666666666667,5.16666666666667,5.16666666666667,4.66666666666667,5.16666666666667
16,2,20,5,2,2,2,"vier","Nicht dass ich wüsste!","Ich glaube nicht!","Zu verstehen wie viel andere Meinungen einen beinflussen ?",9,3,8,5,7,5,8,2,9,3,8,8,9,6,8,7,6,10,7,5,9,5,8,9,7,8,8,9,5,7,5,3,6,4,8,7,1,1,1,1,0,1,1,0,1,0,1,1,5,7,9,3,7,3,8,6,4,7,5,8,8,3,6,5,8,"Ja",2,4,6,4,6.4,4.66666666666667,8.16666666666667,4.33333333333333,7.83333333333333,7,6.5,6.33333333333333
17,1,23,5,2,1,1,"vier",NA,NA,NA,6,5,6,6,6,4,6,5,6,6,6,4,4,5,4,6,4,5,6,4,6,5,8,4,3,3,3,4,3,6,4,4,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,3,0,5,10,6,6,7,6,5,10,10,10,1,"Nein",5,0,4,2,6,10,6,5,5.33333333333333,4.83333333333333,3.5,3.83333333333333
18,2,22,5,2,1,1,"vier",NA,NA,"Den Weg zur Entscheidungsfindung von Menschen nachzuvollziehen sowie die Frage, ob eine Reihe von Argumenten die Entscheidung erleichtert oder gar erschwert.",8,2,5,4,7,9,7,7,2,2,7,8,8,3,6,3,6,9,8,8,6,3,6,8,9,2,7,3,6,9,8,8,5,3,7,7,1,0,1,0,1,1,1,1,0,0,1,1,10,3,8,1,7,3,5,8,8,10,8,9,8,9,7,9,8,"Nein",5,2,5.5,4.25,8.6,8.33333333333333,6,5.33333333333333,6.66666666666667,5.66666666666667,7,5.33333333333333
19,2,20,3,3,1,1,"vier ","Die Fragen waren teilweise gleich, auch wenn es anders beschrieben war.","Nein ","Recht oder unrecht ",5,1,4,7,8,5,6,0,0,6,10,0,10,1,4,3,7,5,10,0,5,6,10,0,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,0,6,10,2,0,7,7,10,10,9,10,10,8,2,"Nein",8,10,4.25,8.5,8.6,9.33333333333333,5.5,3.16666666666667,7.66666666666667,2.5,10,10
20,1,22,3,3,1,2,"vier",NA,NA,NA,4,3,2,6,2,8,5,3,2,5,4,5,6,4,2,7,2,10,4,2,2,6,4,7,3,6,2,4,1,5,6,1,2,3,3,4,0,0,0,1,0,1,1,0,0,0,1,0,2,5,7,1,3,9,3,9,6,3,3,3,5,6,5,4,3,"Ja",7,1,3.75,5,4,5,3.16666666666667,5,3.33333333333333,6,2.83333333333333,3.83333333333333
21,1,20,5,2,1,2,"vier ",NA,NA,NA,0,0,7,5,2,0,6,3,9,3,2,5,0,0,2,5,0,0,7,3,5,3,2,5,0,4,2,8,0,0,6,2,2,0,2,7,0,0,0,1,0,0,1,0,0,0,0,1,10,5,7,10,7,7,5,3,3,5,3,7,7,7,10,7,8,"Ja",5,7,8,6.5,5,8,4.33333333333333,2.66666666666667,2.66666666666667,2.66666666666667,2,3.5
22,1,16,2,1,1,2,"vier","Es wurden in den Expertenmeinungen viele verschiedene Argumente gebracht, manchmal sogar das selbe Argument, allerdings für eine verschiedene Meinung. Es hat mich übberrascht, wie die Auslegung eines Arguments sich auswirken kann.","Nein noch nie zu einem solchen Thema","Vielleicht lag das Ziel darin, zu untersuchen, wie sich Menschen in ihren Entscheidungen beeinflussen lassen.",4,8,7,7,8,8,9,6,10,5,6,7,3,8,8,8,8,10,9,7,10,4,5,7,1,6,5,5,3,6,7,3,6,2,4,4,0,1,1,1,0,1,1,0,1,0,0,0,7,0,7,2,5,1,5,9,10,8,7,9,9,10,10,10,2,"Ja",5,1,4,3,8.6,10,7.33333333333333,6.83333333333333,7.16666666666667,7.33333333333333,4.33333333333333,4.33333333333333
23,1,21,5,2,1,1,"vier",NA,"Nein. ",NA,8,8,6,6,6,8,9,3,3,8,8,10,8,7,6,5,6,6,4,4,4,8,6,10,3,6,6,2,0,6,7,4,1,3,6,5,0,1,1,0,0,0,1,0,0,0,0,0,3,3,4,1,7,2,4,7,4,4,4,6,6,7,7,7,1,"Ja",6,3,2.75,4.5,4.8,7,6.66666666666667,7.16666666666667,5.66666666666667,6.66666666666667,3.83333333333333,4.33333333333333
24,1,23,5,2,1,1,"vier",NA,NA,NA,8,5,8,5,10,10,8,9,8,6,9,0,6,9,6,8,9,10,8,5,8,6,4,8,6,3,5,8,7,10,8,4,5,2,2,10,0,0,1,0,1,1,1,0,0,0,0,1,8,4,3,8,6,0,6,9,10,10,10,10,10,10,10,10,8,"Ja",4,1,5.75,2.75,10,10,8.5,5.83333333333333,6.83333333333333,7.66666666666667,5.5,6.16666666666667
25,2,23,4,4,1,2,"vier",NA,NA,NA,3,3,7,7,5,10,6,5,8,5,9,6,8,4,8,8,7,10,6,2,8,6,9,8,2,3,5,5,4,8,5,2,5,2,8,4,0,0,1,1,0,1,0,0,0,0,1,1,3,7,7,7,6,7,5,3,3,2,4,3,3,7,10,5,7,"Nein",5,7,6,6.25,3,7.33333333333333,6.33333333333333,6,7.66666666666667,6.33333333333333,4.83333333333333,4
26,1,21,5,2,1,2,"vier","Die Varianz an Entscheidungsoptionen war sehr detailliert.","Nein.","Erforschung von Entscheidungsfindung im Rahmen wirtschaftlicher Tätigkeiten.",0,7,2,6,2,9,5,9,2,8,9,10,0,6,2,9,0,9,8,9,2,9,9,10,0,9,4,9,6,9,8,9,7,7,9,10,0,1,1,1,1,1,1,1,1,1,1,1,9,9,10,2,9,9,1,1,9,4,5,10,10,0,9,3,9,"Ja",9,9,7.5,9,7.6,4,3.33333333333333,8.16666666666667,3.5,8.66666666666667,5.66666666666667,8.83333333333333
27,1,23,5,2,1,2,"vier","Ehrlicherweise nicht. ","Tatsächlich nicht. ","Das frage ich mich jetzt auch. Entscheidungsfindung?",3,2,4,3,4,3,4,2,4,4,3,5,2,0,7,5,3,6,7,2,3,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,5,8,5,2,1,0,3,1,6,10,9,0,"Ja",2,5,0.5,3.75,1.4,8.33333333333333,3.66666666666667,3.16666666666667,4.66666666666667,4.16666666666667,0,0
28,2,21,5,2,1,1,"vier","Im zweiten Teil sind Fragen identisch, aber invertiert formuliert gewesen","Nein","Herauszufinden, ob sich das Antwortverhalten von Menschen durch die Fragestellung ändert",7,3,7,2,6,4,8,1,9,7,7,9,8,4,6,7,5,8,8,7,9,8,8,9,9,2,5,2,9,6,6,1,9,8,6,9,1,0,0,0,1,0,0,0,1,1,0,1,1,3,6,6,2,4,5,6,8,8,4,5,6,9,9,10,3,"Nein",5,4,4,3.75,6.2,9.33333333333333,7.33333333333333,4.33333333333333,7.33333333333333,7.16666666666667,7.33333333333333,4.66666666666667
29,3,24,5,2,1,1,"Vier",NA,NA,NA,5,3,9,4,3,7,8,4,6,5,8,8,6,3,9,9,3,7,9,3,6,5,6,10,6,3,9,5,3,8,6,4,7,6,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,9,3,5,3,6,10,8,8,7,7,10,9,3,"Nein",5,7,3.25,6,7.8,8.66666666666667,6.5,5.16666666666667,6.5,6.16666666666667,6.5,6
30,1,23,5,4,1,2,"vier",NA,NA,NA,3,5,3,1,7,10,6,9,7,8,3,6,5,5,6,7,2,10,9,8,9,7,5,7,5,0,5,1,5,9,5,5,6,5,4,5,1,0,1,0,0,1,1,0,1,0,1,0,8,10,10,6,2,9,3,3,7,9,4,3,5,9,10,10,0,"Ja",7,7,8.5,6.25,5.6,9.66666666666667,4.83333333333333,6.5,6,7.33333333333333,5,4.16666666666667
